timestamp,mode,path,offset,size,phase,confidence,prefetch,prefetch_offset,prefetch_size
1772045049.214259,none,/big.txt,0,8192,unknown,0.0000,0,,
1772045049.214498,none,/big.txt,8192,8192,sequential,1.0000,0,,
1772045049.214875,none,/big.txt,16384,8192,sequential,1.0000,0,,
1772045049.2150998,none,/big.txt,24576,8192,sequential,1.0000,0,,
1772045049.215254,none,/big.txt,32768,8192,sequential,1.0000,0,,
1772045049.215404,none,/big.txt,40960,8192,sequential,1.0000,0,,
1772045049.21555,none,/big.txt,49152,8192,sequential,1.0000,0,,
1772045049.2156942,none,/big.txt,57344,8192,sequential,1.0000,0,,
1772045049.2158122,none,/big.txt,65536,8192,sequential,1.0000,0,,
1772045049.2160141,none,/big.txt,73728,8192,sequential,1.0000,0,,
1772045049.216285,none,/big.txt,81920,8192,sequential,1.0000,0,,
1772045049.216419,none,/big.txt,90112,8192,sequential,1.0000,0,,
1772045049.2165382,none,/big.txt,98304,8192,sequential,1.0000,0,,
1772045049.216733,none,/big.txt,106496,8192,sequential,1.0000,0,,
1772045049.216855,none,/big.txt,114688,8192,sequential,1.0000,0,,
1772045049.216992,none,/big.txt,122880,8192,sequential,1.0000,0,,
1772045049.217131,none,/big.txt,131072,8192,sequential,1.0000,0,,
1772045049.217272,none,/big.txt,139264,8192,sequential,1.0000,0,,
1772045049.217377,none,/big.txt,147456,8192,sequential,1.0000,0,,
1772045049.217477,none,/big.txt,155648,8192,sequential,1.0000,0,,
1772045049.217587,none,/big.txt,163840,8192,sequential,1.0000,0,,
1772045049.217686,none,/big.txt,172032,8192,sequential,1.0000,0,,
1772045049.2177868,none,/big.txt,180224,8192,sequential,1.0000,0,,
1772045049.2178922,none,/big.txt,188416,8192,sequential,1.0000,0,,
1772045049.2180119,none,/big.txt,196608,8192,sequential,1.0000,0,,
1772045049.218118,none,/big.txt,204800,8192,sequential,1.0000,0,,
1772045049.218241,none,/big.txt,212992,8192,sequential,1.0000,0,,
1772045049.218359,none,/big.txt,221184,8192,sequential,1.0000,0,,
1772045049.218474,none,/big.txt,229376,8192,sequential,1.0000,0,,
1772045049.2185862,none,/big.txt,237568,8192,sequential,1.0000,0,,
1772045049.218732,none,/big.txt,245760,8192,sequential,1.0000,0,,
1772045049.2188292,none,/big.txt,253952,8192,sequential,1.0000,0,,
1772045049.2189271,none,/big.txt,262144,8192,sequential,1.0000,0,,
1772045049.2190678,none,/big.txt,270336,8192,sequential,1.0000,0,,
1772045049.21917,none,/big.txt,278528,8192,sequential,1.0000,0,,
1772045049.219297,none,/big.txt,286720,8192,sequential,1.0000,0,,
1772045049.219399,none,/big.txt,294912,8192,sequential,1.0000,0,,
1772045049.2195048,none,/big.txt,303104,8192,sequential,1.0000,0,,
1772045049.219607,none,/big.txt,311296,8192,sequential,1.0000,0,,
1772045049.2197068,none,/big.txt,319488,8192,sequential,1.0000,0,,
1772045049.2198038,none,/big.txt,327680,8192,sequential,1.0000,0,,
1772045049.219907,none,/big.txt,335872,8192,sequential,1.0000,0,,
1772045049.2200189,none,/big.txt,344064,8192,sequential,1.0000,0,,
1772045049.220114,none,/big.txt,352256,8192,sequential,1.0000,0,,
1772045049.220215,none,/big.txt,360448,8192,sequential,1.0000,0,,
1772045049.220324,none,/big.txt,368640,8192,sequential,1.0000,0,,
1772045049.220429,none,/big.txt,376832,8192,sequential,1.0000,0,,
1772045049.2205281,none,/big.txt,385024,8192,sequential,1.0000,0,,
1772045049.220639,none,/big.txt,393216,8192,sequential,1.0000,0,,
1772045049.220736,none,/big.txt,401408,8192,sequential,1.0000,0,,
1772045049.220842,none,/big.txt,409600,8192,sequential,1.0000,0,,
1772045049.2209332,none,/big.txt,417792,8192,sequential,1.0000,0,,
1772045049.221029,none,/big.txt,425984,8192,sequential,1.0000,0,,
1772045049.221129,none,/big.txt,434176,8192,sequential,1.0000,0,,
1772045049.2212238,none,/big.txt,442368,8192,sequential,1.0000,0,,
1772045049.221329,none,/big.txt,450560,8192,sequential,1.0000,0,,
1772045049.22144,none,/big.txt,458752,8192,sequential,1.0000,0,,
1772045049.2215612,none,/big.txt,466944,8192,sequential,1.0000,0,,
1772045049.221664,none,/big.txt,475136,8192,sequential,1.0000,0,,
1772045049.221767,none,/big.txt,483328,8192,sequential,1.0000,0,,
1772045049.2219222,none,/big.txt,491520,8192,sequential,1.0000,0,,
1772045049.222015,none,/big.txt,499712,8192,sequential,1.0000,0,,
1772045049.222116,none,/big.txt,507904,8192,sequential,1.0000,0,,
1772045049.222208,none,/big.txt,516096,8192,sequential,1.0000,0,,
1772045049.2223098,none,/big.txt,524288,8192,sequential,1.0000,0,,
1772045049.222502,none,/big.txt,532480,8192,sequential,1.0000,0,,
1772045049.2225971,none,/big.txt,540672,8192,sequential,1.0000,0,,
1772045049.222688,none,/big.txt,548864,8192,sequential,1.0000,0,,
1772045049.2227762,none,/big.txt,557056,8192,sequential,1.0000,0,,
1772045049.2228632,none,/big.txt,565248,8192,sequential,1.0000,0,,
1772045049.222951,none,/big.txt,573440,8192,sequential,1.0000,0,,
1772045049.2230349,none,/big.txt,581632,8192,sequential,1.0000,0,,
1772045049.223126,none,/big.txt,589824,8192,sequential,1.0000,0,,
1772045049.223215,none,/big.txt,598016,8192,sequential,1.0000,0,,
1772045049.223315,none,/big.txt,606208,8192,sequential,1.0000,0,,
1772045049.223407,none,/big.txt,614400,8192,sequential,1.0000,0,,
1772045049.223501,none,/big.txt,622592,8192,sequential,1.0000,0,,
1772045049.223588,none,/big.txt,630784,8192,sequential,1.0000,0,,
1772045049.2236748,none,/big.txt,638976,8192,sequential,1.0000,0,,
1772045049.22376,none,/big.txt,647168,8192,sequential,1.0000,0,,
1772045049.223846,none,/big.txt,655360,8192,sequential,1.0000,0,,
1772045049.223928,none,/big.txt,663552,8192,sequential,1.0000,0,,
1772045049.224031,none,/big.txt,671744,8192,sequential,1.0000,0,,
1772045049.224131,none,/big.txt,679936,8192,sequential,1.0000,0,,
1772045049.2242188,none,/big.txt,688128,8192,sequential,1.0000,0,,
1772045049.224305,none,/big.txt,696320,8192,sequential,1.0000,0,,
1772045049.224396,none,/big.txt,704512,8192,sequential,1.0000,0,,
1772045049.2244868,none,/big.txt,712704,8192,sequential,1.0000,0,,
1772045049.22458,none,/big.txt,720896,8192,sequential,1.0000,0,,
1772045049.224666,none,/big.txt,729088,8192,sequential,1.0000,0,,
1772045049.224755,none,/big.txt,737280,8192,sequential,1.0000,0,,
1772045049.2248409,none,/big.txt,745472,8192,sequential,1.0000,0,,
1772045049.224928,none,/big.txt,753664,8192,sequential,1.0000,0,,
