run_index,run_label,mode,workload,timestamp,path,offset,size,phase,confidence,decay_rate,seek_delta,prefetch,prefetch_offset,prefetch_size,prefetch_depth,cache_hit,false_negative
189,189_baseline_random_run09,baseline,random,1778306981.9687123,/big.txt,20480,4096,unknown,0.0000,0.0000,0,1,24576,4096,1,1,0
189,189_baseline_random_run09,baseline,random,1778306981.9724681,/big.txt,491520,4096,irregular,0.0000,0.0000,466944,1,495616,4096,1,1,0
189,189_baseline_random_run09,baseline,random,1778306981.9760919,/big.txt,172032,4096,irregular,0.0000,0.0000,323584,1,176128,4096,1,1,0
189,189_baseline_random_run09,baseline,random,1778306981.979835,/big.txt,1228800,4096,irregular,0.0000,0.0000,1052672,1,1232896,4096,1,1,0
189,189_baseline_random_run09,baseline,random,1778306981.9834182,/big.txt,69632,4096,irregular,0.0000,0.0000,1163264,1,73728,4096,1,1,0
189,189_baseline_random_run09,baseline,random,1778306981.9869947,/big.txt,1024000,4096,irregular,0.0000,0.0000,950272,1,1028096,4096,1,1,0
189,189_baseline_random_run09,baseline,random,1778306981.9906046,/big.txt,360448,4096,irregular,0.0000,0.0000,667648,1,364544,4096,1,1,0
189,189_baseline_random_run09,baseline,random,1778306981.9940944,/big.txt,778240,4096,irregular,0.0000,0.0000,413696,1,782336,4096,1,1,0
189,189_baseline_random_run09,baseline,random,1778306981.9977438,/big.txt,245760,4096,irregular,0.0000,0.0000,536576,1,249856,4096,1,1,0
189,189_baseline_random_run09,baseline,random,1778306982.001326,/big.txt,40960,4096,irregular,0.0000,0.0000,208896,1,45056,4096,1,1,0
189,189_baseline_random_run09,baseline,random,1778306982.005054,/big.txt,1126400,4096,irregular,0.0000,0.0000,1081344,1,1130496,4096,1,1,0
189,189_baseline_random_run09,baseline,random,1778306982.01001,/big.txt,135168,4096,irregular,0.0000,0.0000,995328,1,139264,4096,1,1,0
189,189_baseline_random_run09,baseline,random,1778306982.0150807,/big.txt,655360,4096,irregular,0.0000,0.0000,516096,1,659456,4096,1,1,0
189,189_baseline_random_run09,baseline,random,1778306982.0199552,/big.txt,860160,4096,irregular,0.0000,0.0000,200704,1,864256,4096,1,1,0
189,189_baseline_random_run09,baseline,random,1778306982.0247955,/big.txt,389120,4096,irregular,0.0000,0.0000,475136,1,393216,4096,1,1,0
