workload,run,real_sec,user_sec,sys_sec
sequential,1,0.0770,0.0020,0.0110
sequential,2,0.0850,0.0040,0.0140
sequential,3,0.0860,0.0030,0.0120
sequential,4,0.0860,0.0040,0.0140
sequential,5,0.0850,0.0040,0.0140
sequential,6,0.0840,0.0040,0.0130
sequential,7,0.0830,0.0040,0.0130
sequential,8,0.0830,0.0040,0.0130
sequential,9,0.0840,0.0040,0.0140
sequential,10,0.0830,0.0040,0.0140
sequential,11,0.0850,0.0040,0.0140
sequential,12,0.0840,0.0040,0.0130
sequential,13,0.0740,0.0020,0.0100
sequential,14,0.0850,0.0040,0.0130
sequential,15,0.0840,0.0040,0.0130
sequential,16,0.0830,0.0040,0.0130
sequential,17,0.0830,0.0040,0.0130
sequential,18,0.0840,0.0040,0.0130
sequential,19,0.0770,0.0010,0.0110
sequential,20,0.0840,0.0040,0.0130
random,1,0.0340,0.0100,0.0180
random,2,0.0360,0.0100,0.0190
random,3,0.0370,0.0100,0.0200
random,4,0.0350,0.0100,0.0190
random,5,0.0270,0.0080,0.0150
random,6,0.0350,0.0100,0.0190
random,7,0.0350,0.0100,0.0190
random,8,0.0360,0.0100,0.0190
random,9,0.0350,0.0100,0.0190
random,10,0.0230,0.0070,0.0120
random,11,0.0350,0.0100,0.0180
random,12,0.0350,0.0100,0.0190
random,13,0.0370,0.0110,0.0190
random,14,0.0350,0.0100,0.0190
random,15,0.0360,0.0100,0.0190
random,16,0.0240,0.0070,0.0120
random,17,0.0360,0.0100,0.0190
random,18,0.0360,0.0100,0.0190
random,19,0.0360,0.0100,0.0190
random,20,0.0360,0.0110,0.0190
phase_change,1,0.1920,0.0150,0.0400
phase_change,2,0.1920,0.0150,0.0390
phase_change,3,0.1920,0.0150,0.0400
phase_change,4,0.1930,0.0150,0.0400
phase_change,5,0.1880,0.0150,0.0390
phase_change,6,0.1840,0.0130,0.0350
phase_change,7,0.1940,0.0150,0.0400
phase_change,8,0.1960,0.0150,0.0400
phase_change,9,0.1870,0.0130,0.0360
phase_change,10,0.1930,0.0150,0.0400
phase_change,11,0.1900,0.0150,0.0390
phase_change,12,0.1900,0.0150,0.0400
phase_change,13,0.1940,0.0160,0.0400
phase_change,14,0.1890,0.0150,0.0390
phase_change,15,0.1930,0.0150,0.0400
phase_change,16,0.1940,0.0160,0.0410
phase_change,17,0.1890,0.0150,0.0390
phase_change,18,0.2090,0.0160,0.0430
phase_change,19,0.1870,0.0130,0.0370
phase_change,20,0.1950,0.0150,0.0400
tar_workload,1,0.0530,0.0070,0.0390
tar_workload,2,0.0550,0.0090,0.0400
tar_workload,3,0.0540,0.0080,0.0400
tar_workload,4,0.0540,0.0090,0.0400
tar_workload,5,0.0540,0.0090,0.0390
tar_workload,6,0.0540,0.0080,0.0400
tar_workload,7,0.0530,0.0080,0.0390
tar_workload,8,0.0540,0.0080,0.0400
tar_workload,9,0.0540,0.0090,0.0400
tar_workload,10,0.0730,0.0080,0.0430
tar_workload,11,0.0530,0.0080,0.0390
tar_workload,12,0.0530,0.0080,0.0390
tar_workload,13,0.0550,0.0090,0.0400
tar_workload,14,0.0560,0.0090,0.0420
tar_workload,15,0.0420,0.0050,0.0340
tar_workload,16,0.0530,0.0080,0.0390
tar_workload,17,0.0450,0.0050,0.0360
tar_workload,18,0.0520,0.0080,0.0390
tar_workload,19,0.0540,0.0080,0.0400
tar_workload,20,0.0550,0.0080,0.0410
python_import,1,0.0440,0.0050,0.0170
python_import,2,0.0400,0.0060,0.0170
python_import,3,0.0390,0.0060,0.0170
python_import,4,0.0380,0.0060,0.0160
python_import,5,0.0380,0.0060,0.0170
python_import,6,0.0320,0.0040,0.0140
python_import,7,0.0400,0.0070,0.0180
python_import,8,0.0420,0.0070,0.0190
python_import,9,0.0400,0.0070,0.0180
python_import,10,0.0400,0.0070,0.0180
python_import,11,0.0400,0.0060,0.0170
python_import,12,0.0420,0.0060,0.0160
python_import,13,0.0400,0.0060,0.0170
python_import,14,0.0380,0.0060,0.0170
python_import,15,0.0400,0.0070,0.0180
python_import,16,0.0390,0.0060,0.0180
python_import,17,0.0270,0.0030,0.0100
python_import,18,0.0390,0.0070,0.0170
python_import,19,0.0390,0.0060,0.0170
python_import,20,0.0330,0.0040,0.0120
cache_lookup_workload,1,2.6700,0.0230,0.0200
cache_lookup_workload,2,2.7070,0.0250,0.0210
cache_lookup_workload,3,2.6740,0.0260,0.0210
cache_lookup_workload,4,2.6530,0.0210,0.0160
cache_lookup_workload,5,2.6370,0.0260,0.0210
cache_lookup_workload,6,2.6420,0.0260,0.0210
cache_lookup_workload,7,2.6950,0.0260,0.0200
cache_lookup_workload,8,2.5990,0.0230,0.0160
cache_lookup_workload,9,2.4620,0.0260,0.0210
cache_lookup_workload,10,2.4880,0.0260,0.0200
cache_lookup_workload,11,2.4900,0.0270,0.0210
cache_lookup_workload,12,2.5140,0.0290,0.0210
cache_lookup_workload,13,2.4940,0.0260,0.0220
cache_lookup_workload,14,2.5050,0.0240,0.0200
cache_lookup_workload,15,2.5120,0.0280,0.0230
cache_lookup_workload,16,2.4980,0.0280,0.0210
cache_lookup_workload,17,2.4550,0.0250,0.0220
cache_lookup_workload,18,2.4580,0.0260,0.0210
cache_lookup_workload,19,2.4790,0.0220,0.0160
cache_lookup_workload,20,2.4760,0.0260,0.0200
