workload,run,real_sec,user_sec,sys_sec
sequential,1,0.0570,0.0020,0.0120
sequential,2,0.0610,0.0030,0.0130
sequential,3,0.0620,0.0040,0.0140
sequential,4,0.0640,0.0040,0.0140
sequential,5,0.0610,0.0040,0.0130
sequential,6,0.0620,0.0040,0.0130
sequential,7,0.0610,0.0030,0.0130
sequential,8,0.0620,0.0040,0.0130
sequential,9,0.0640,0.0040,0.0150
sequential,10,0.0600,0.0040,0.0130
sequential,11,0.0600,0.0040,0.0130
sequential,12,0.0630,0.0030,0.0140
sequential,13,0.0690,0.0040,0.0150
sequential,14,0.0500,0.0020,0.0090
sequential,15,0.0620,0.0040,0.0130
sequential,16,0.0600,0.0040,0.0130
sequential,17,0.0610,0.0030,0.0130
sequential,18,0.0600,0.0040,0.0130
sequential,19,0.0630,0.0030,0.0130
sequential,20,0.0630,0.0040,0.0130
random,1,0.0330,0.0090,0.0170
random,2,0.0350,0.0100,0.0190
random,3,0.0350,0.0100,0.0190
random,4,0.0340,0.0100,0.0190
random,5,0.0340,0.0100,0.0180
random,6,0.0360,0.0100,0.0190
random,7,0.0350,0.0100,0.0190
random,8,0.0350,0.0100,0.0180
random,9,0.0370,0.0110,0.0200
random,10,0.0230,0.0070,0.0120
random,11,0.0350,0.0100,0.0190
random,12,0.0360,0.0110,0.0190
random,13,0.0350,0.0100,0.0190
random,14,0.0350,0.0100,0.0180
random,15,0.0370,0.0110,0.0190
random,16,0.0270,0.0080,0.0150
random,17,0.0350,0.0100,0.0190
random,18,0.0290,0.0080,0.0150
random,19,0.0360,0.0100,0.0190
random,20,0.0350,0.0100,0.0180
phase_change,1,0.1510,0.0150,0.0410
phase_change,2,0.1480,0.0150,0.0390
phase_change,3,0.1460,0.0150,0.0390
phase_change,4,0.1440,0.0150,0.0390
phase_change,5,0.1490,0.0150,0.0400
phase_change,6,0.1450,0.0150,0.0400
phase_change,7,0.1460,0.0150,0.0390
phase_change,8,0.1450,0.0150,0.0400
phase_change,9,0.1460,0.0150,0.0400
phase_change,10,0.1430,0.0150,0.0390
phase_change,11,0.1430,0.0150,0.0390
phase_change,12,0.1320,0.0130,0.0350
phase_change,13,0.1450,0.0150,0.0390
phase_change,14,0.1430,0.0150,0.0390
phase_change,15,0.1430,0.0140,0.0390
phase_change,16,0.1480,0.0150,0.0400
phase_change,17,0.1420,0.0140,0.0380
phase_change,18,0.1450,0.0150,0.0390
phase_change,19,0.1450,0.0150,0.0390
phase_change,20,0.1460,0.0140,0.0390
tar_workload,1,0.0520,0.0070,0.0390
tar_workload,2,0.0470,0.0050,0.0370
tar_workload,3,0.0520,0.0080,0.0390
tar_workload,4,0.0540,0.0090,0.0400
tar_workload,5,0.0540,0.0090,0.0400
tar_workload,6,0.0530,0.0090,0.0400
tar_workload,7,0.0410,0.0040,0.0330
tar_workload,8,0.0530,0.0090,0.0390
tar_workload,9,0.0530,0.0090,0.0390
tar_workload,10,0.0630,0.0090,0.0460
tar_workload,11,0.0530,0.0090,0.0390
tar_workload,12,0.0530,0.0080,0.0400
tar_workload,13,0.0520,0.0090,0.0390
tar_workload,14,0.0520,0.0080,0.0390
tar_workload,15,0.0520,0.0080,0.0390
tar_workload,16,0.0570,0.0090,0.0420
tar_workload,17,0.0530,0.0080,0.0390
tar_workload,18,0.0520,0.0080,0.0390
tar_workload,19,0.0550,0.0080,0.0420
tar_workload,20,0.0430,0.0050,0.0350
python_import,1,0.0440,0.0050,0.0170
python_import,2,0.0390,0.0060,0.0180
python_import,3,0.0280,0.0030,0.0100
python_import,4,0.0290,0.0030,0.0110
python_import,5,0.0410,0.0060,0.0190
python_import,6,0.0390,0.0060,0.0180
python_import,7,0.0410,0.0070,0.0190
python_import,8,0.0460,0.0040,0.0150
python_import,9,0.0370,0.0050,0.0160
